Areaal,source,target,mapping,
GRVERH,Opdelend/ad.wegdeel_v,/Asfaltverharding, fysiekvoorkomen =gesloten verharding: asfalt, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Betonverharding, fysiekvoorkomen =gesloten verharding:cementbeton, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:gebakken klinkers, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:tegels, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =transitie, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, wegtype=Gemiddeld belaste weg,
GRVERH,Opdelend/ad.wegdeel_v,/Asfaltverharding, fysiekvoorkomen =gesloten verharding: asfalt, wegtype=Hoofdwegennet
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =transitie, wegtype=Fietspaden
GRVERH,Opdelend/ad.wegdeel_v,/Betonverharding, fysiekvoorkomen =gesloten verharding:cementbeton, wegtype=Hoofdwegennet
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =gesloten verharding, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Asfaltverharding, fysiekvoorkomen =gesloten verharding: asfalt, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Betonverharding, fysiekvoorkomen =gesloten verharding:cementbeton, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard, wegtype=Fietspaden
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =half verhard:grasklinkers, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard:grind, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:gebakken klinkers, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:tegels, wegtype=Fietspaden
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =transitie, wegtype=Licht belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, wegtype=Licht belaste weg,
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =gesloten verharding: asfalt, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Asfaltverharding, fysiekvoorkomen =gesloten verharding: asfalt, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Betonverharding, fysiekvoorkomen =gesloten verharding:cementbeton, wegtype=Fietspaden
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =gesloten verharding: asfalt, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =half verhard:grasklinkers, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard:puin, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =onverhard, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding fysiekvoorkomen =open verharding:gebakken klinkers, wegtype=Zwaar belaste weg,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:tegels, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:betonstraatstenen, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =transitie, wegtype=Zwaar belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, wegtype=Zwaar belaste weg,
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =gesloten verharding,
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =gesloten verharding: asfalt,
GRVERH,Opdelend/ad.wegdeel_v,/Betonverharding, fysiekvoorkomen =gesloten verharding:cementbeton,
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =half verhard:grasklinkers,
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard:grind,
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =half verhard:puin,
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =onverhard,
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =onverhard:zand,
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =open verharding,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:beton element,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:gebakken klinkers,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:sierbestrating,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:tegels,
GRVERH,Opdelend/ad.wegdeel_v,/Elementenverharding, fysiekvoorkomen =open verharding:betonstraatstenen,
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding, fysiekvoorkomen =transitie,
GRVERH,Opdelend/ad.wegdeel_v,/Bermverharding, fysiekvoorkomen =onverhard, wegtype=Gemiddeld belaste weg
GRVERH,Opdelend/ad.wegdeel_v,/Overigeverharding,,
