Areaal,source,target,mapping,,
MEUBHOV,Opdelend/ad.overigBouwwerk_v,/Abri, bgtplustype=overkapping,,
MEUBHOV,Opdelend/ad.overigBouwwerk_v,/Transitie, bgtplustype=transitie,,
MEUBHOV,Opdelend/ad.overigBouwwerk_v,/Transitie,,,
MEUBHOV,Opdelend/ad.scheiding_v,/Kademuur, bgtplustype=kademuur,,
MEUBHOV,Opdelend/ad.scheiding_v,/Kademuur, bgtplustype=muur,,
OVLVRIKL,Inrichtend/ad.lantaarn_p,/Lantaarn,,,
OVLVRIKL,Inrichtend/ad.leidingelement_p,/Detectielus mof, typespec = Detectielus mof/las,,
OVLVRIKL,Inrichtend/ad.leidingelement_p,/Kolk, typespec = Trottoirkolk,,
OVLVRIKL,Inrichtend/ad.leidingelement_p,/Put, typespec = Straatkolk,,
OVLVRIKL,Inrichtend/ad.leidingelement_p,/Mast, typespec = Inspectieput,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Bordpaal,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Bordpaal meervoudig,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Draagconstructie: onbekend,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Flessenpaal,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Buispaal,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Bewegwijzering,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Paal Algemeen,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Paal algemeen,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Overig,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast zweepmast OVL/VRI,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast zweepmast OVL/VRI/Bewegwijzering,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Drukknopmast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Verkeerslichtmast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast OVL/VRI,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast OVL/VRI/Bewegwijzering,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast portaal OVL/VRI,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast portaal OVL/VRI, eenzijdig,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast portaal OVL/VRI/Bewegwijzering,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast portaal OVL/VRI/Bewegwijzering, tweezijdig,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast portaal OVL/VRI/Bewegwijzering, tweezijdig,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast portaal VRI/Bewegwijzering, eenzijdig,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast VRI/Bewegwijzering,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Lichtmast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Uni-mast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Combimast OVL/Bewegwijzering,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Anwb-mast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Drukknoppaal,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Paal: onbekend,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Portaal, typespec = Portaal,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Zweepmast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Mast, typespec = Verlichtingsmast,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Portaal, typespec = Uithouder,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = praatpaal,,
OVLVRIKL,Inrichtend/ad.paalDraagconstructie_p,/Bordpaal, typespec = Bordpaal,,
OVLVRIKL,Inrichtend/ad.sensor_p,/Camera,,,
OVLVRIKL,Inrichtend/ad.straatmeubilairLichtpunt_p,/Openbare verlichting,,,
OVLVRIKL,Inrichtend/ad.buis_l,/Rioleringsbuis,,,
OVLVRIKL,Inrichtend/ad.electriciteitskabel_l,/Kabel,,,
OVLVRIKL,Inrichtend/ad.sensor_l,/Detectielus,,,
OVLVRIKL,Inrichtend/ad.telecommunicatiekabel_l,/Kabel,,,
OVLVRIKL,Inrichtend/ad.uitleggerPortaal_l,/Portaal,,,
OVLVRIKL,Inrichtend/ad.mantelbuis_v,/Rioleringsbuis,,,
