source,target,mapping
/ad4.wegdeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Halfverharding
/ad4.ondersteunendWegdeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Halfverharding
/ad4.wegdeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.leverancier,/Halfverharding
/ad4.ondersteunendWegdeel_v.LV_PUBLICATIEDATUM,/ad5.verharding_v.lv_publicatiedatum,/Halfverharding
/ad4.wegdeel_v.LV_PUBLICATIEDATUM,/ad5.verharding_v.lv_publicatiedatum,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.maximale_valhoogte,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.modaliteit,/Halfverharding
/ad4.crowMeting_tbl.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Halfverharding
/ad4.wegdeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Halfverharding
/ad4.crowMeting_tbl.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Halfverharding
/ad4.wegdeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.objectnaam,/Halfverharding
/ad4.ondersteunendWegdeel_v.OMTREK,/ad5.verharding_v.omtrek,/Halfverharding
/ad4.wegdeel_v.OMTREK,/ad5.verharding_v.omtrek,/Halfverharding
/ad4.ondersteunendWegdeel_v.onderhouder,/ad5.verharding_v.onderhoudsplichtige,/Halfverharding
/ad4.wegdeel_v.onderhouder,/ad5.verharding_v.onderhoudsplichtige,/Halfverharding
/ad4.onbegroeidTerreindeel_v.OPTALUD,/ad5.verharding_v.op talud,/Halfverharding
/ad4.ondersteunendWegdeel_v.OPTALUD,/ad5.verharding_v.op talud,/Halfverharding
/ad4.wegdeel_v.OPTALUD,/ad5.verharding_v.op talud,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.openbare_ruimtenaam,/Halfverharding
/ad4.crowMeting_tbl.OPMERKING,/ad5.verharding_v.opmerking,/Halfverharding
/ad4.wegdeel_v.OPMERKING,/ad5.verharding_v.opmerking,/Halfverharding
/ad4.onbegroeidTerreindeel_v.OPPERVLAKTE,/ad5.verharding_v.oppervlakte,/Halfverharding
/ad4.ondersteunendWegdeel_v.OPPERVLAKTE,/ad5.verharding_v.oppervlakte,/Halfverharding
/ad4.wegdeel_v.OPPERVLAKTE,/ad5.verharding_v.oppervlakte,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.postcode,/Halfverharding
/ad4.onbegroeidTerreindeel_v.RELATIEVEHOOGTELIGGING,/ad5.verharding_v.relatieve_hoogteligging,/Halfverharding
/ad4.ondersteunendWegdeel_v.RELATIEVEHOOGTELIGGING,/ad5.verharding_v.relatieve_hoogteligging,/Halfverharding
/ad4.wegdeel_v.RELATIEVEHOOGTELIGGING,/ad5.verharding_v.relatieve_hoogteligging,/Halfverharding
/ad4.ondersteunendWegdeel_v.SHAPE,/ad5.verharding_v.shape,/Halfverharding
/ad4.wegdeel_v.SHAPE,/ad5.verharding_v.shape,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.stadsdeel_of_kern,/Halfverharding
/ad4.onbegroeidTerreindeel_v.STATUS,/ad5.verharding_v.status,/Halfverharding
/ad4.ondersteunendWegdeel_v.STATUS,/ad5.verharding_v.status,/Halfverharding
/ad4.wegdeel_v.STATUS,/ad5.verharding_v.status,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.taludsteilte,/Halfverharding
/ad4.onbegroeidTerreindeel_v.TIJDSTIPREGISTRATIE,/ad5.verharding_v.tijdstip_registratie,/Halfverharding
/ad4.ondersteunendWegdeel_v.TIJDSTIPREGISTRATIE,/ad5.verharding_v.tijdstip_registratie,/Halfverharding
/ad4.wegdeel_v.TIJDSTIPREGISTRATIE,/ad5.verharding_v.tijdstip_registratie,/Halfverharding
/ad4.onbegroeidTerreindeel_v.TRAJECT,/ad5.verharding_v.traject,/Halfverharding
/ad4.ondersteunendWegdeel_v.TRAJECT,/ad5.verharding_v.traject,/Halfverharding
/ad4.wegdeel_v.TRAJECT,/ad5.verharding_v.traject,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.tweede_beheerder,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.tweede_eigenaar,/Halfverharding
/ad4.onbegroeidTerreindeel_v.VERHARDING,/ad5.verharding_v.type,/Halfverharding
/ad4.ondersteunendWegdeel_v.VERHARDING,/ad5.verharding_v.type,/Halfverharding
/ad4.wegdeel_v.VERHARDING,/ad5.verharding_v.type,/Halfverharding
/ad4.onbegroeidTerreindeel_v.WEGTYPE,/ad5.verharding_v.type_conservering,/Halfverharding
/ad4.ondersteunendWegdeel_v.WEGTYPE,/ad5.verharding_v.type_conservering,/Halfverharding
/ad4.wegdeel_v.WEGTYPE,/ad5.verharding_v.type_conservering,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.type_conservering,/Halfverharding
/ad4.onbegroeidTerreindeel_v.VERHARDING,/ad5.verharding_v.type_gedetailleerd,/Halfverharding
/ad4.ondersteunendWegdeel_v.VERHARDING,/ad5.verharding_v.type_gedetailleerd,/Halfverharding
