source,target,mapping
/ad4.wegdeel_v.INONDERZOEK,/ad5.verharding_v.in_onderzoek,/Betonverharding
/ad4.ondersteunendWegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_aanleg,/Betonverharding
/ad4.wegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_aanleg,/Betonverharding
/ad4.onbegroeidTerreindeel_v.JAARAANLEG,/ad5.verharding_v.jaar_maatregel,/Betonverharding
/ad4.ondersteunendWegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_maatregel,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.jaar_maatregel,/Betonverharding
/ad4.wegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_maatregel,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.kleur,/Betonverharding
/ad4.onbegroeidTerreindeel_v.LAST_EDITED_DATE,/ad5.verharding_v.last_edited_date,/Betonverharding
/ad4.ondersteunendWegdeel_v.LAST_EDITED_DATE,/ad5.verharding_v.last_edited_date,/Betonverharding
/ad4.wegdeel_v.LAST_EDITED_DATE,/ad5.verharding_v.last_edited_date,/Betonverharding
/ad4.onbegroeidTerreindeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Betonverharding
/ad4.ondersteunendWegdeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Betonverharding
/ad4.wegdeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Betonverharding
/ad4.onbegroeidTerreindeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Betonverharding
/ad4.ondersteunendWegdeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Betonverharding
/ad4.wegdeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Betonverharding
/ad4.ondersteunendWegdeel_v.LENGTEVOEGEN,/ad5.verharding_v.lengte_van_voegen,/Betonverharding
/ad4.wegdeel_v.LENGTEVOEGEN,/ad5.verharding_v.lengte_van_voegen,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.leverancier,/Betonverharding
/ad4.ondersteunendWegdeel_v.LV_PUBLICATIEDATUM,/ad5.verharding_v.lv_publicatiedatum,/Betonverharding
/ad4.wegdeel_v.LV_PUBLICATIEDATUM,/ad5.verharding_v.lv_publicatiedatum,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.maximale_valhoogte,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.modaliteit,/Betonverharding
/ad4.onbegroeidTerreindeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Betonverharding
/ad4.ondersteunendWegdeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Betonverharding
/ad4.wegdeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Betonverharding
/ad4.onbegroeidTerreindeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Betonverharding
/ad4.ondersteunendWegdeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Betonverharding
/ad4.wegdeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Betonverharding
