source,target,value,mapping,assetgroep
TOTAL.ad4 (1311606),ad4.theorHectometrering_p (18251),18251,totaal,alles
TOTAL.ad4 (1311606),ad4.traject_v (210),210,totaal,alles
TOTAL.ad4 (1311606),ad4.tunneldeel_v (119),119,totaal,alles
TOTAL.ad4 (1311606),ad4.uitleggerPortaal_l (911),911,totaal,alles
TOTAL.ad4 (1311606),ad4.utiliteitsNet_tbl (1037),1037,totaal,alles
TOTAL.ad4 (1311606),ad4.vaarweg_l (16),16,totaal,alles
TOTAL.ad4 (1311606),ad4.vaarwegdeeltraject_v (34),34,totaal,alles
TOTAL.ad4 (1311606),ad4.vaarwegdeeltrajectas_l (34),34,totaal,alles
TOTAL.ad4 (1311606),ad4.vegetatieObject_l (1302),1302,totaal,alles
TOTAL.ad4 (1311606),ad4.vegetatieObject_p (47070),47070,totaal,alles
TOTAL.ad4 (1311606),ad4.vegetatieObject_v (210),210,totaal,alles
TOTAL.ad4 (1311606),ad4.vegetatieobject_v (210),210,totaal,alles
TOTAL.ad4 (1311606),ad4.vtaInspectie_tbl (196319),196319,totaal,alles
TOTAL.ad4 (1311606),ad4.waterdeel_v (9686),9686,totaal,alles
TOTAL.ad4 (1311606),ad4.waterinrichtingselement_l (718),718,totaal,alles
TOTAL.ad4 (1311606),ad4.waterinrichtingselement_p (2466),2466,totaal,alles
TOTAL.ad4 (1311606),ad4.waterloop_l (458),458,totaal,alles
TOTAL.ad4 (1311606),ad4.weg_l (85),85,totaal,alles
TOTAL.ad4 (1311606),ad4.wegdeelKruin_l (10),10,totaal,alles
TOTAL.ad4 (1311606),ad4.wegdeel_v (60933),60933,totaal,alles
TOTAL.ad4 (1311606),ad4.weginrichtingselement_l (8250),8250,totaal,alles
TOTAL.ad4 (1311606),ad4.weginrichtingselement_p (6559),6559,totaal,alles
TOTAL.ad4 (1311606),ad4.weginrichtingselement_v (46),46,totaal,alles
TOTAL.ad4 (1311606),ad4.wegvak_v (6541),6541,totaal,alles
ad4.buis_l (10618),ad5.aansluitleiding_l (18),1,TYPESPEC_aansluitleiding,bodem
ad4.leidingelement_p (26119),ad5.aansluitput_p (3),1,TYPESPEC_Zandvang,bodem
ad4.leidingelement_p (26119),ad5.aardelektrode_p (128),1,TYPESPEC_aarding,bodem
ad4.straatmeubilairAbri_p (282),ad5.abri_p (282),1,x_x,wegkantsystemen
ad4.straatmeubilairLichtpunt_p (25465),ad5.actievewegmarkering_p (2246),1,TYPESPEC_AM,ovl/vri
