source,target,value,mapping,assetgroep
ad4.elektriciteitskabel_l (34503),ad5.voedingskabel_l (33635),1,TYPESPEC_ENE,bodem
ad4.elektriciteitskabel_l (34503),ad5.combikabel_l (8),1,TYPESPEC_ADD,bodem
ad4.elementOevervak_tbl (15516),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.elementOevervak_tbl (15516),ad5.oeverelement_tbl (15516),1,x_x,vaarwegen
ad4.faunavoorziening_v (82),ad5.gebied_faunavoorziening_v (82),1,x_x,groen
ad4.fietsparkeervoorziening_l (776),ad5.fietsparkeervoorziening_l (776),1,x_x,wegkantsystemen
ad4.functioneelGebied_v (19),ad5.werkgebied_v (19),1,x_x,integraal
ad4.gebiedscontractregio_v (7),ad5.beheergebied_v (7),1,x_x,integraal
ad4.gebouwInstallatie_v (6),ad5.toegangstrap_v (3),1,BGTPLUSTYPE_niet-bgt_toegangstrap,kunstwerken
ad4.gebouwInstallatie_v (6),ad5.bordes_v (0),1,BGTPLUSTYPE_niet-bgt_bordes,kunstwerken
ad4.gebouwInstallatie_v (6),ad5.luifel_v (3),1,BGTPLUSTYPE_niet-bgt_luifel,kunstwerken
ad4.geluidwerendeVoorziening_l (195),ad5.geluidwerendevoorziening_l (195),1,x_x,wegkantsystemen
ad4.halte_v (395),ad5.halteplaats_v (395),1,x_x,wegen
ad4.installatie_p (296),ad5.pomp_p (261),1,BGTPLUSTYPE_niet-bgt_pomp,ovl/vri
ad4.installatie_p (296),ad5.zonnepaneel_p (35),1,BGTPLUSTYPE_niet-bgt_zonnepaneel,wegkantsystemen
ad4.kastDRIS_p (5),ad5.telecomkast_p (514),1,x_x,ovl/vri
ad4.kastOvl_p (609),ad5.ovl_kast_p (609),1,x_x,ovl/vri
ad4.kastVri_p (302),ad5.vri_kast_p (302),1,x_x,ovl/vri
ad4.kast_p (2248),ad5.cai_kast_p (95),1,TYPESPEC_CAI,ovl/vri
ad4.kast_p (2248),ad5.telecomkast_p (514),1,TYPESPEC_Schakelkast PTT,ovl/vri
ad4.kast_p (2248),ad5.gaskast_p (78),1,TYPESPEC_Gaskast,bodem
ad4.kast_p (2248),ad5.elektriciteitskast_p (74),1,TYPESPEC_Elec,ovl/vri
ad4.kast_p (2248),ad5.telkast_p (291),1,TYPESPEC_Telkast_ onbekend,ovl/vri
ad4.kast_p (2248),ad5.kast_p (747),1,TYPESPEC_Kast_ onbekend_OV,ovl/vri
ad4.kast_p (2248),ad5.besturingskast_p (71),1,TYPESPEC_Rioolpompkast,ovl/vri
ad4.kast_p (2248),ad5.slagboominstallatie_p (362),1,TYPESPEC_Slagboomkast,ovl/vri
ad4.kast_p (2248),ad5.gms_kast_p (38),1,TYPESPEC_GMS-kast,ovl/vri
