source,target,value,mapping,assetgroep
ad4.sensor_p (1996),ad5.detector_p (9),1,TYPESPEC_Radar detector,elektrotechniek
ad4.overigBouwwerk_v (856),ad5.dok_v (17),1,BGTPLUSTYPE_bassin,vaarwegen
ad4.buis_l (10618),ad5.drain_l (81),1,TYPESPEC_drainagebuis,groen
ad4.leidingelement_p (26187),ad5.drainageput_p (41),1,TYPESPEC_Drainageput,groen
ad4.sensor_p (1996),ad5.drukknop_p (933),1,TYPESPEC_Drukknopsensor,elektrotechniek
ad4.kunstwerkdeel_l (2534),ad5.duiker_l (2239),1,BGTPLUSTYPE_niet-bgt_ niet-bgt_duiker,kunstwerken
ad4.kunstwerk_p (869),ad5.duiker_p (261),1,NENBEHEEROBJECT_Duikers_Overkluizingen_Sifons,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.duiker_v (1579),1,BGTPLUSTYPE_niet-bgt_duiker,kunstwerken
ad4.begroeidTerreindeelBerm_v (15658),ad5.duin_v (294),1,FYSIEKVOORKOMEN_duin_duin_gesloten duinvegetatie_duin_open duinvegetatie,groen
ad4.kunstwerk_p (869),ad5.ecoduct_p (6),1,NENBEHEEROBJECT_Ecoducten,kunstwerken
ad4.kast_p (2248),ad5.elektriciteitskast_p (74),1,TYPESPEC_Elec,elektrotechniek
ad4.onbegroeidTerreindeel_v (10729),ad5.elementenverharding_v (27429),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.ondersteunendWegdeel_v (34770),ad5.elementenverharding_v (27429),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
