source,target,value,mapping
ad4.sensor_l (11577),ad5.detector_l (11577),1,x_x,OVL/VRI
ad4.sensor_p (2001),ad5.detector_p (9),1,TYPESPEC_Radar detector,OVL/VRI
ad4.overigBouwwerk_v (824),ad5.dok_v (18),1,BGTPLUSTYPE_bassin,Vaarwegen
ad4.buis_l (10618),ad5.drain_l (81),1,TYPESPEC_drainagebuis,Bodem
ad4.leidingelement_p (26119),ad5.drainageput_p (41),1,TYPESPEC_Drainageput,Bodem
ad4.sensor_p (2001),ad5.drukknop_p (935),1,TYPESPEC_Drukknopsensor,OVL/VRI
ad4.kunstwerkdeel_l (2556),ad5.duiker_l (2264),1,BGTPLUSTYPE_niet-bgt_ niet-bgt_duiker,Kunstwerken
ad4.kunstwerk_p (869),ad5.duiker_p (261),1,NENBEHEEROBJECT_Duikers_Overkluizingen_Sifons,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.duiker_v (1578),1,BGTPLUSTYPE_niet-bgt_duiker,Kunstwerken
ad4.begroeidTerreindeelBerm_v (15669),ad5.duin_v (295),1,FYSIEKVOORKOMEN_duin_duin_gesloten duinvegetatie_duin_open duinvegetatie,Groen
ad4.kunstwerk_p (869),ad5.ecoduct_p (6),1,NENBEHEEROBJECT_Ecoducten,Kunstwerken
ad4.kast_p (2249),ad5.elektriciteitskast_p (73),1,TYPESPEC_Elec,OVL/VRI
ad4.ondersteunendWegdeel_v (34754),ad5.elementenverharding_v (27280),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,Wegen
ad4.wegdeel_v (60933),ad5.elementenverharding_v (27280),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,Wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.elementenverharding_v (27280),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,Wegen
ad4.scheidingGeleidewand_l (306),ad5.faunameubilair_l (329),1,x_x,Groen
ad4.ecopassage_l (194),ad5.faunameubilair_l (329),1,TYPESPEC_Loopplank onder brug,Groen
ad4.ecopassage_l (194),ad5.faunaverblijfplaats_p (0),1,TYPESPEC_Vleermuisbunker,Groen
ad4.ecopassage_l (194),ad5.faunavoorziening_l (170),1,TYPESPEC_Amfibie_ntunnel_Boombrug_brug of viaduct met faunavoorziening_Duiker_ Looprichel_ecoduiker _ duiker met faunavoorziening_kleine faunatunnel_Looprichel_Onduidelijk_Overig_Overige faunatunnel_tunnel _ viaduct met medegebruik fauna,Groen
ad4.kunstwerkdeel_v (3773),ad5.faunavoorziening_v (77),1,BGTPLUSTYPE_niet-bgt_faunavoorziening,Groen
ad4.fietsparkeervoorziening_l (776),ad5.fietsparkeervoorziening_l (776),1,x_x,Wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.fietsparkeervoorziening_p (133),1,TYPESPEC_fietsenrek,Wegkantsystemen
ad4.kunstwerk_p (869),ad5.flyover_p (9),1,BEHEEROBJECTSUBTYP_Fly-over,Kunstwerken
ad4.straatmeubilair_p (6902),ad5.fontein_p (1),1,TYPESPEC_Fontein,Wegkantsystemen
ad4.begroeidTerreindeel_v (3887),ad5.fruit_of_kweekbomen_v (38),1,FYSIEKVOORKOMEN_fruitteelt_boomteelt_fruitteelt_hoogstam boomgaarden_fruitteelt_laagstam boomgaarden_fruitteelt_wijngaarden_fruitteelt_klein fruit,Groen
ad4.kast_p (2249),ad5.gaskast_p (78),1,TYPESPEC_Gaskast,Bodem
ad4.put_p (1278),ad5.gasput_p (12),1,BGTPLUSTYPE_niet-bgt_gasput,Bodem
ad4.faunavoorziening_v (82),ad5.gebied_faunavoorziening_v (0),1,x_x,Groen
ad4.pand_v (5319),ad5.gebouw_v (5679),1,x_x,Integraal
ad4.overigBouwwerk_v (824),ad5.gebouw_v (5679),1,BGTPLUSTYPE_niet-bgt_bunker_niet-bgt_schuur_lage trafo,Integraal
ad4.weginrichtingselement_l (8250),ad5.geleideconstructie_l (2692),1,TYPESPEC_GR_VC_MSB,Wegen
ad4.weginrichtingselement_v (46),ad5.geleideconstructie_v (23),1,TYPESPEC_Barrier,Wegen
ad4.waterinrichtingselement_l (718),ad5.geleidewerk_l (416),1,BGTPLUSTYPE_niet-bgt_geleidewerk,Vaarwegen
ad4.scheidingGeluidsscherm_l (483),ad5.geluidsscherm_l (483),1,x_x,Wegkantsystemen
ad4.geluidwerendeVoorziening_l (195),ad5.geluidwerendevoorziening_l (195),1,x_x,Wegkantsystemen
ad4.kunstwerkdeel_v (3773),ad5.gemaal_v (130),1,BGTPLUSTYPE_gemaal,Kunstwerken
ad4.kunstwerk_p (869),ad5.gemaalcomplex_p (3),1,NENBEHEEROBJECT_Gemalen,Kunstwerken
ad4.ondersteunendWaterdeel_v (14135),ad5.getijdengebied_v (1),1,BGTPLUSTYPE_slik,Vaarwegen
ad4.kast_p (2249),ad5.gms_kast_p (38),1,TYPESPEC_GMS-kast,OVL/VRI
ad4.sensor_p (2001),ad5.gms_sensor_p (150),1,TYPESPEC_GMS-sensor geleiding_GMS-sensor temperatuur,OVL/VRI
ad4.begroeidTerreindeelBerm_v (15669),ad5.gras_en_kruidachtigen_v (51099),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,Groen
ad4.ondersteunendWegdeel_v (34754),ad5.gras_en_kruidachtigen_v (51099),1,FYSIEKVOORKOMEN_groenvoorziening_gras- en kruidachtigen,Groen
ad4.begroeidTerreindeel_v (3887),ad5.gras_en_kruidachtigen_v (51099),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,Groen
ad4.vegetatieobject_v (210),ad5.groeiplaats_v (0),1,TYPESPEC_Groeiplaatsinrichting,Groen
ad4.begroeidTerreindeelBerm_v (15669),ad5.groenobject_v (4608),1,FYSIEKVOORKOMEN_groenvoorziening,Groen
ad4.ondersteunendWegdeel_v (34754),ad5.groenobject_v (4608),1,FYSIEKVOORKOMEN_groenvoorziening,Groen
ad4.vegetatieObject_l (1302),ad5.haag_l (1302),1,BGTPLUSTYPE_niet-bgt_haag,Groen
ad4.vegetatieObject_v (210),ad5.haag_v (1),1,TYPESPEC_Haag,Groen
ad4.wegdeel_v (60933),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,Wegen
ad4.ondersteunendWegdeel_v (34754),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,Wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,Wegen
ad4.halte_v (403),ad5.halteplaats_v (403),1,x_x,Wegen
ad4.sensor_p (2001),ad5.handhavingssysteem_p (20),1,TYPESPEC_Detectie_ flitspaal,OVL/VRI
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.heide_v (31),1,FYSIEKVOORKOMEN_heide,Groen
ad4.scheidingLand_l (12395),ad5.hek_l (11631),1,BGTPLUSTYPE_hek_niet-bgt_draadraster_niet-bgt,Wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.herdenkingsmonument_p (50),1,TYPESPEC_Herdenkingsmonument,Wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.hijsinrichting_p (0),1,TYPESPEC_Bootkraan prive,Wegkantsystemen
ad4.kunstwerkdeel_mp (10),ad5.hoogspanningsmast_mp (10),1,BGTPLUSTYPE_hoogspanningsmast,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.hoogspanningsmast_v (3),1,BGTPLUSTYPE_hoogspanningsmast,Kunstwerken
ad4.waterinrichtingselement_p (2466),ad5.hoogtemerk_p (4),1,TYPESPEC_Hoogtemerk,Wegkantsystemen
ad4.begroeidTerreindeel_v (3887),ad5.houtwal_v (151),1,FYSIEKVOORKOMEN_houtwal,Groen
ad4.bordZwemwater_p (340),ad5.informatiebord_p (1322),1,x_x,Wegkantsystemen
ad4.bordScheepvaart_p (1662),ad5.informatiebord_p (1322),1,TYPESPEC_Informatiebord,Wegkantsystemen
ad4.bord_p (36860),ad5.informatiebord_p (1322),1,BGTPLUSTYPE_niet-bgt_informatiebord,Wegkantsystemen
ad4.bordDRIS_p (240),ad5.informatiepaneel_p (396),1,x_x,Wegkantsystemen
ad4.kleineHalteDisplay_p (44),ad5.informatiepaneel_p (396),1,x_x,Wegkantsystemen
ad4.bord_p (36860),ad5.informatiepaneel_p (396),1,BGTPLUSTYPE_niet-bgt_dynamische snelheidsindicator,Wegkantsystemen
ad4.bordScheepvaart_p (1662),ad5.kabels_en_leidingenbord_p (1675),1,TYPESPEC_bord kabels_leidingen,Wegkantsystemen
ad4.bord_p (36860),ad5.kabels_en_leidingenbord_p (1675),1,BGTPLUSTYPE_niet-bgt_verklikker transportleiding,Wegkantsystemen
ad4.scheidingWater_l (11359),ad5.kademuur_l (293),1,BGTPLUSTYPE_kademuur,Vaarwegen
ad4.scheiding_v (5023),ad5.kademuur_v (947),1,BGTPLUSTYPE_kademuur,Vaarwegen
ad4.kast_p (2249),ad5.kast_p (739),1,TYPESPEC_Kast_ onbekend_OV,OVL/VRI
ad4.put_p (1278),ad5.kolk_p (16171),1,BGTPLUSTYPE_niet-bgt_kolk,Bodem
ad4.leidingelement_p (26119),ad5.kolk_p (16171),1,TYPESPEC_Kolk_RWS kolk_Straatkolk_Trottoirkolk_Rioolleidingelement_ onbekend,Bodem
ad4.kruispunt_p (808),ad5.kruispunt_p (808),1,x_x,Integraal
ad4.straatmeubilair_p (6902),ad5.kunstobject_p (4),1,TYPESPEC_kunstobject,Wegkantsystemen
ad4.onbegroeidTerreindeel_v (10669),ad5.kunststofverharding_v (26),1,FYSIEKVOORKOMEN_gesloten verharding_kunststof,Wegen
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.kunstwerkbouwdeel_tbl (28598),1,x_x,Kunstwerken
ad4.bouwdeelKunstwerk_tbl (26548),ad5.kunstwerkbouwdeel_tbl (28598),1,x_x,Kunstwerken
ad4.kunstwerkdeel_l (2556),ad5.kunstwerkdeel_l (31),1,BGTPLUSTYPE_niet-bgt,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.kunstwerkdeel_v (0),1,BGTPLUSTYPE_niet-bgt,Kunstwerken
ad4.kwElement_tbl (10587),ad5.kunstwerkelement_tbl (10587),1,x_x,Kunstwerken
ad4.overbruggingsdeel_v (2909),ad5.landhoofd_v (502),1,TYPEOVERBRUGGINGSDEEL_landhoofd,Kunstwerken
ad4.lamp_p (12430),ad5.lichtbron_p (12430),1,x_x,OVL/VRI
ad4.sensor_p (2001),ad5.lichtsensor_p (85),1,TYPESPEC_Schemerschakelaar,OVL/VRI
ad4.ligplaatsstrook_v (38),ad5.ligplaatsstrook_v (38),1,x_x,Vaarwegen
ad4.weginrichtingselement_l (8250),ad5.lijngoot_l (20),1,TYPESPEC_Lijnafwatering,Wegen
ad4.straatmeubilair_p (6902),ad5.luidspreker_p (0),1,TYPESPEC_Luidspreker,OVL/VRI
ad4.gebouwInstallatie_v (6),ad5.luifel_v (3),1,BGTPLUSTYPE_niet-bgt_luifel,Kunstwerken
ad4.mantelbuis_v (10067),ad5.mantelbuis_v (10067),1,x_x,Bodem
ad4.paalDraagconstructie_p (50695),ad5.markeringspaal_p (61),1,BGTPLUSTYPE_niet-bgt_dijkpaal,Wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.markeringspaal_p (61),1,TYPESPEC_dijkpaal_grensmarkering,Wegkantsystemen
ad4.waterinrichtingselement_p (2466),ad5.meerpaal_p (2303),1,TYPESPEC_Dukdalf_Meerpaal,Wegkantsystemen
ad4.paalDraagconstructie_p (50695),ad5.meldpaal_p (362),1,BGTPLUSTYPE_niet-bgt_drukknoppaal_niet-bgt_praatpaal,OVL/VRI
ad4.begroeidTerreindeel_v (3887),ad5.moeras_v (6),1,FYSIEKVOORKOMEN_moeras,Groen
ad4.weginrichtingselement_l (8250),ad5.molgoot_l (696),1,TYPESPEC_Molgoot,Wegen
ad4.scheidingLand_l (12395),ad5.muur_l (764),1,BGTPLUSTYPE_muur,Kunstwerken
ad4.scheiding_v (5023),ad5.muur_v (3818),1,BGTPLUSTYPE_muur,Kunstwerken
ad4.scheiding_v (5023),ad5.muur_v (3818),1,RELATIEVEHOOGTELIGGING_0_1_2,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.muur_v (3818),1,BGTPLUSTYPE_niet-bgt_keermuur,Kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.muur_v (3818),1,RELATIEVEHOOGTELIGGING_0_1_2,Kunstwerken
ad4.elementOevervak_tbl (15516),ad5.neninspectie_tbl (76994),1,x_x,Kunstwerken
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.neninspectie_tbl (76994),1,x_x,Kunstwerken
ad4.bouwdeelOevervak_tbl (21424),ad5.neninspectie_tbl (76994),1,x_x,Kunstwerken
ad4.kwElement_tbl (10587),ad5.neninspectie_tbl (76994),1,x_x,Kunstwerken
ad4.kunstwerk_p (869),ad5.neninspectie_tbl (76994),1,x_x,Kunstwerken
ad4.bouwdeelKunstwerk_tbl (26548),ad5.neninspectie_tbl (76994),1,x_x,Kunstwerken
ad4.ondersteunendWaterdeel_v (14135),ad5.oever_of_slootkant_v (0),1,BGTPLUSTYPE_oever_ slootkant,Vaarwegen
ad4.elementOevervak_tbl (15516),ad5.oeverelement_tbl (0),1,x_x,Vaarwegen
ad4.oevervak_v (6921),ad5.oeverzone_v (6921),1,x_x,Vaarwegen
ad4.kunstwerk_p (869),ad5.onderdoorgang_p (113),1,NENBEHEEROBJECT_Onderdoorgangen,Kunstwerken
ad4.wegdeel_v (60933),ad5.onverhard_v (1618),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,Wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.onverhard_v (1618),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,Wegen
ad4.ondersteunendWegdeel_v (34754),ad5.onverhard_v (1618),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,Wegen
ad4.overigBouwwerk_v (824),ad5.open_loods_v (38),1,BGTPLUSTYPE_open loods,Wegen
ad4.bak_p (994),ad5.opslagbak_p (31),1,BGTPLUSTYPE_niet-bgt_zand- _ zoutbak,Wegkantsystemen
ad4.overigBouwwerk_v (824),ad5.opslagtank_v (24),1,BGTPLUSTYPE_opslagtank,Wegen
ad4.overbruggingsdeel_v (2909),ad5.overbruggingsdeel_v (289),1,TYPEOVERBRUGGINGSDEEL_Null,Kunstwerken
ad4.overigBouwwerk_v (824),ad5.overigbouwwerk_v (0),1,BGTPLUSTYPE_niet-bgt,Wegen
ad4.kunstwerk_p (869),ad5.overigkunstwerk_p (21),1,NENBEHEEROBJECT_Spoorwegen_Grondkeringen_Faunatunnel_Onbekend_Wateren en watergangen niet lijnvormig_ overig,Kunstwerken
ad4.overigBouwwerk_v (824),ad5.overkapping_v (354),1,BGTPLUSTYPE_overkapping,Wegen
ad4.kastOvl_p (609),ad5.ovl_kast_p (609),1,x_x,OVL/VRI
ad4.mast_p (3),ad5.paal_p (51334),1,BGTPLUSTYPE_niet-bgt_laagspanningsmast,Wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.paal_p (51334),1,TYPESPEC_Paal,Wegkantsystemen
ad4.paalDraagconstructie_p (50695),ad5.paal_p (51334),1,BGTPLUSTYPE_niet-bgt_haltepaal_niet-bgt_lichtmast_niet-bgt_verkeersbordpaal_niet-bgt_verkeersregelinstallatiepaal_niet-bgt_portaal_niet-bgt,Wegkantsystemen
ad4.pandHuisnummerreeks_t (4141),ad5.pand_huisnummerreeks_t (0),1,x_x,Integraal
ad4.peilbuis_p (666),ad5.peilbuis_p (666),1,x_x,Bodem
