source,target,value,mapping,assetgroep
ad4.leidingelement_p (26119),ad5.drainageput_p (0),1,TYPESPEC_Drainageput,Overig
ad4.sensor_p (2001),ad5.drukknop_p (0),1,TYPESPEC_Drukknopsensor,Overig
ad4.kunstwerkdeel_l (2556),ad5.duiker_l (0),1,BGTPLUSTYPE_niet-bgt_ niet-bgt_duiker,Kunstwerken
ad4.kunstwerk_p (869),ad5.duiker_p (0),1,NENBEHEEROBJECT_Duikers_Overkluizingen_Sifons,Overig
ad4.kunstwerkdeel_v (3773),ad5.duiker_v (0),1,BGTPLUSTYPE_niet-bgt_duiker,Overig
ad4.begroeidTerreindeelBerm_v (15669),ad5.duin_v (0),1,FYSIEKVOORKOMEN_duin_duin_gesloten duinvegetatie_duin_open duinvegetatie,Overig
ad4.kunstwerk_p (869),ad5.ecoduct_p (0),1,NENBEHEEROBJECT_Ecoducten,Overig
ad4.kast_p (2249),ad5.elektriciteitskast_p (0),1,TYPESPEC_Elec,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.elementenverharding_v (0),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,Overig
ad4.wegdeel_v (60933),ad5.elementenverharding_v (0),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,Overig
ad4.onbegroeidTerreindeel_v (10669),ad5.elementenverharding_v (0),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,Overig
ad4.ecopassage_l (194),ad5.faunameubilair_l (0),1,TYPESPEC_Loopplank onder brug,Overig
ad4.scheidingGeleidewand_l (306),ad5.faunameubilair_l (0),1,x_x,Overig
ad4.ecopassage_l (194),ad5.faunaverblijfplaats_p (0),1,TYPESPEC_Vleermuisbunker,Overig
ad4.ecopassage_l (194),ad5.faunavoorziening_l (0),1,TYPESPEC_Amfibie_ntunnel_Boombrug_brug of viaduct met faunavoorziening_Duiker_ Looprichel_ecoduiker _ duiker met faunavoorziening_kleine faunatunnel_Looprichel_Onduidelijk_Overig_Overige faunatunnel_tunnel _ viaduct met medegebruik fauna,Overig
ad4.kunstwerkdeel_v (3773),ad5.faunavoorziening_v (0),1,BGTPLUSTYPE_niet-bgt_faunavoorziening,Overig
ad4.fietsparkeervoorziening_l (776),ad5.fietsparkeervoorziening_l (0),1,x_x,Overig
ad4.straatmeubilair_p (6902),ad5.fietsparkeervoorziening_p (0),1,TYPESPEC_fietsenrek,Overig
ad4.kunstwerk_p (869),ad5.flyover_p (0),1,BEHEEROBJECTSUBTYP_Fly-over,Overig
ad4.straatmeubilair_p (6902),ad5.fontein_p (0),1,TYPESPEC_Fontein,Overig
ad4.begroeidTerreindeel_v (3887),ad5.fruit_of_kweekbomen_v (0),1,FYSIEKVOORKOMEN_fruitteelt_boomteelt_fruitteelt_hoogstam boomgaarden_fruitteelt_laagstam boomgaarden_fruitteelt_wijngaarden_fruitteelt_klein fruit,Overig
ad4.kast_p (2249),ad5.gaskast_p (0),1,TYPESPEC_Gaskast,Overig
ad4.put_p (1278),ad5.gasput_p (0),1,BGTPLUSTYPE_niet-bgt_gasput,Overig
ad4.faunavoorziening_v (82),ad5.gebied_faunavoorziening_v (0),1,x_x,Overig
ad4.pand_v (5319),ad5.gebouw_v (0),1,x_x,Overig
ad4.overigBouwwerk_v (824),ad5.gebouw_v (0),1,BGTPLUSTYPE_niet-bgt_bunker_niet-bgt_schuur_lage trafo,Overig
ad4.weginrichtingselement_l (8250),ad5.geleideconstructie_l (0),1,TYPESPEC_GR_VC_MSB,Overig
ad4.weginrichtingselement_v (46),ad5.geleideconstructie_v (0),1,TYPESPEC_Barrier,Overig
ad4.waterinrichtingselement_l (718),ad5.geleidewerk_l (0),1,BGTPLUSTYPE_niet-bgt_geleidewerk,Overig
ad4.scheidingGeluidsscherm_l (483),ad5.geluidsscherm_l (0),1,x_x,Overig
ad4.geluidwerendeVoorziening_l (195),ad5.geluidwerendevoorziening_l (0),1,x_x,Overig
ad4.kunstwerkdeel_v (3773),ad5.gemaal_v (0),1,BGTPLUSTYPE_gemaal,Overig
ad4.kunstwerk_p (869),ad5.gemaalcomplex_p (0),1,NENBEHEEROBJECT_Gemalen,Overig
ad4.ondersteunendWaterdeel_v (14135),ad5.getijdengebied_v (0),1,BGTPLUSTYPE_slik,Overig
ad4.kast_p (2249),ad5.gms_kast_p (0),1,TYPESPEC_GMS-kast,Overig
ad4.sensor_p (2001),ad5.gms_sensor_p (0),1,TYPESPEC_GMS-sensor geleiding_GMS-sensor temperatuur,Overig
ad4.begroeidTerreindeel_v (3887),ad5.gras_en_kruidachtigen_v (0),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,Overig
ad4.begroeidTerreindeelBerm_v (15669),ad5.gras_en_kruidachtigen_v (0),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.gras_en_kruidachtigen_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_gras- en kruidachtigen,Overig
ad4.vegetatieobject_v (210),ad5.groeiplaats_v (0),1,TYPESPEC_Groeiplaatsinrichting,Overig
ad4.begroeidTerreindeelBerm_v (15669),ad5.groenobject_v (0),1,FYSIEKVOORKOMEN_groenvoorziening,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.groenobject_v (0),1,FYSIEKVOORKOMEN_groenvoorziening,Overig
ad4.vegetatieObject_l (1302),ad5.haag_l (0),1,BGTPLUSTYPE_niet-bgt_haag,Overig
ad4.vegetatieObject_v (210),ad5.haag_v (0),1,TYPESPEC_Haag,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.halfverharding_v (0),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,Overig
ad4.wegdeel_v (60933),ad5.halfverharding_v (0),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,Overig
ad4.onbegroeidTerreindeel_v (10669),ad5.halfverharding_v (0),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,Overig
ad4.halte_v (403),ad5.halteplaats_v (0),1,x_x,Overig
ad4.sensor_p (2001),ad5.handhavingssysteem_p (0),1,TYPESPEC_Detectie_ flitspaal,Overig
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.heide_v (0),1,FYSIEKVOORKOMEN_heide,Overig
ad4.scheidingLand_l (12395),ad5.hek_l (0),1,BGTPLUSTYPE_hek_niet-bgt_draadraster_niet-bgt,Overig
ad4.straatmeubilair_p (6902),ad5.herdenkingsmonument_p (0),1,TYPESPEC_Herdenkingsmonument,Overig
ad4.straatmeubilair_p (6902),ad5.hijsinrichting_p (0),1,TYPESPEC_Bootkraan prive,Overig
ad4.kunstwerkdeel_mp (10),ad5.hoogspanningsmast_mp (0),1,BGTPLUSTYPE_hoogspanningsmast,Overig
ad4.kunstwerkdeel_v (3773),ad5.hoogspanningsmast_v (0),1,BGTPLUSTYPE_hoogspanningsmast,Overig
ad4.waterinrichtingselement_p (2466),ad5.hoogtemerk_p (0),1,TYPESPEC_Hoogtemerk,Overig
ad4.begroeidTerreindeel_v (3887),ad5.houtwal_v (0),1,FYSIEKVOORKOMEN_houtwal,Overig
ad4.bordZwemwater_p (340),ad5.informatiebord_p (0),1,x_x,Overig
ad4.bordScheepvaart_p (1662),ad5.informatiebord_p (0),1,TYPESPEC_Informatiebord,Overig
ad4.bord_p (36860),ad5.informatiebord_p (0),1,BGTPLUSTYPE_niet-bgt_informatiebord,Overig
ad4.bordDRIS_p (240),ad5.informatiepaneel_p (0),1,x_x,Overig
ad4.kleineHalteDisplay_p (44),ad5.informatiepaneel_p (0),1,x_x,Overig
ad4.bord_p (36860),ad5.informatiepaneel_p (0),1,BGTPLUSTYPE_niet-bgt_dynamische snelheidsindicator,Overig
ad4.bord_p (36860),ad5.kabels_en_leidingenbord_p (0),1,BGTPLUSTYPE_niet-bgt_verklikker transportleiding,Overig
ad4.bordScheepvaart_p (1662),ad5.kabels_en_leidingenbord_p (0),1,TYPESPEC_bord kabels_leidingen,Overig
ad4.scheidingWater_l (11359),ad5.kademuur_l (0),1,BGTPLUSTYPE_kademuur,Overig
ad4.scheiding_v (5023),ad5.kademuur_v (0),1,BGTPLUSTYPE_kademuur,Overig
ad4.kast_p (2249),ad5.kast_p (0),1,TYPESPEC_Kast_ onbekend_OV,Overig
ad4.put_p (1278),ad5.kolk_p (0),1,BGTPLUSTYPE_niet-bgt_kolk,Overig
ad4.leidingelement_p (26119),ad5.kolk_p (0),1,TYPESPEC_Kolk_RWS kolk_Straatkolk_Trottoirkolk_Rioolleidingelement_ onbekend,Overig
ad4.kruispunt_p (808),ad5.kruispunt_p (0),1,x_x,Overig
ad4.straatmeubilair_p (6902),ad5.kunstobject_p (0),1,TYPESPEC_kunstobject,Overig
ad4.onbegroeidTerreindeel_v (10669),ad5.kunststofverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_kunststof,Overig
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.kunstwerkbouwdeel_tbl (0),1,x_x,Overig
ad4.bouwdeelKunstwerk_tbl (26548),ad5.kunstwerkbouwdeel_tbl (0),1,x_x,Overig
ad4.kunstwerkdeel_l (2556),ad5.kunstwerkdeel_l (0),1,BGTPLUSTYPE_niet-bgt,Overig
ad4.kunstwerkdeel_v (3773),ad5.kunstwerkdeel_v (0),1,BGTPLUSTYPE_niet-bgt,Overig
ad4.kwElement_tbl (10587),ad5.kunstwerkelement_tbl (0),1,x_x,Overig
ad4.overbruggingsdeel_v (2909),ad5.landhoofd_v (0),1,TYPEOVERBRUGGINGSDEEL_landhoofd,Overig
ad4.lamp_p (12430),ad5.lichtbron_p (0),1,x_x,Overig
ad4.sensor_p (2001),ad5.lichtsensor_p (0),1,TYPESPEC_Schemerschakelaar,Overig
ad4.ligplaatsstrook_v (38),ad5.ligplaatsstrook_v (0),1,x_x,Overig
ad4.weginrichtingselement_l (8250),ad5.lijngoot_l (0),1,TYPESPEC_Lijnafwatering,Overig
ad4.straatmeubilair_p (6902),ad5.luidspreker_p (0),1,TYPESPEC_Luidspreker,Overig
ad4.gebouwInstallatie_v (6),ad5.luifel_v (0),1,BGTPLUSTYPE_niet-bgt_luifel,Overig
ad4.mantelbuis_v (10067),ad5.mantelbuis_v (0),1,x_x,Overig
ad4.paalDraagconstructie_p (50695),ad5.markeringspaal_p (0),1,BGTPLUSTYPE_niet-bgt_dijkpaal,Overig
ad4.paalAfbakening_p (34245),ad5.markeringspaal_p (0),1,TYPESPEC_dijkpaal_grensmarkering,Overig
ad4.waterinrichtingselement_p (2466),ad5.meerpaal_p (0),1,TYPESPEC_Dukdalf_Meerpaal,Overig
ad4.paalDraagconstructie_p (50695),ad5.meldpaal_p (0),1,BGTPLUSTYPE_niet-bgt_drukknoppaal_niet-bgt_praatpaal,Overig
ad4.begroeidTerreindeel_v (3887),ad5.moeras_v (0),1,FYSIEKVOORKOMEN_moeras,Overig
ad4.weginrichtingselement_l (8250),ad5.molgoot_l (0),1,TYPESPEC_Molgoot,Overig
ad4.scheidingLand_l (12395),ad5.muur_l (0),1,BGTPLUSTYPE_muur,Overig
ad4.scheiding_v (5023),ad5.muur_v (0),1,BGTPLUSTYPE_muur,Overig
ad4.scheiding_v (5023),ad5.muur_v (0),1,RELATIEVEHOOGTELIGGING_0_1_2,Overig
ad4.kunstwerkdeel_v (3773),ad5.muur_v (0),1,BGTPLUSTYPE_niet-bgt_keermuur,Overig
ad4.kunstwerkdeel_v (3773),ad5.muur_v (0),1,RELATIEVEHOOGTELIGGING_0_1_2,Overig
ad4.bouwdeelKunstwerk_tbl (26548),ad5.neninspectie_tbl (0),1,x_x,Overig
ad4.kwElement_tbl (10587),ad5.neninspectie_tbl (0),1,x_x,Overig
ad4.kunstwerk_p (869),ad5.neninspectie_tbl (0),1,x_x,Overig
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.neninspectie_tbl (0),1,x_x,Overig
ad4.bouwdeelOevervak_tbl (21424),ad5.neninspectie_tbl (0),1,x_x,Overig
ad4.elementOevervak_tbl (15516),ad5.neninspectie_tbl (0),1,x_x,Overig
ad4.ondersteunendWaterdeel_v (14135),ad5.oever_of_slootkant_v (0),1,BGTPLUSTYPE_oever_ slootkant,Overig
